Sanaa;Barrett;s12000;3/20/1991;Informatyka;Dzienne;s12000@pjwstk.edu.pl;Lia;Astrid
Mohamad;Montes;s12001;4/20/1991;Sztuka Nowych Mediów;Zaoczne;s12001@pjwstk.edu.pl;Jordan;Laurence
Jim;Blankenship;s12002;3/20/1992;Informatyka;Internetowe;s12002@pjwstk.edu.pl;Margaret;Oliwia
Fletcher;Jefferson;s12003;4/20/1992;Sztuka Nowych Mediów;Wieczorowe;s12003@pjwstk.edu.pl;Iris;Alistair
Yuvraj;Rosario;s12004;3/20/1993;Informatyka;Dzienne;s12004@pjwstk.edu.pl;Olly;Marcel
Louis;Velasquez;s12005;4/20/1993;Sztuka Nowych Mediów;Zaoczne;s12005@pjwstk.edu.pl;Alina;Estelle
Devon;O'Moore;s12006;3/20/1994;Informatyka;Internetowe;s12006@pjwstk.edu.pl;Shivam;Hamzah
Yasin;Clay;s12007;4/20/1994;Sztuka Nowych Mediów;Wieczorowe;s12007@pjwstk.edu.pl;Gina;Cai
Katerina;Shields;s12008;3/20/1995;Informatyka;Dzienne;s12008@pjwstk.edu.pl;Kathleen;Nellie
Alejandro;O'Neill;s12009;4/20/1995;Sztuka Nowych Mediów;Zaoczne;s12009@pjwstk.edu.pl;Willard;Josie
Hector;Bowers;s12010;3/20/1996;Informatyka;Internetowe;s12010@pjwstk.edu.pl;Ella-Louise;Eve
Steve;Pearson;s12011;4/20/1996;Sztuka Nowych Mediów;Wieczorowe;s12011@pjwstk.edu.pl;Rex;Esha
Enzo;Higgins;s12012;3/20/1997;Informatyka;Dzienne;s12012@pjwstk.edu.pl;Milan;Cassie
Keira;Leonard;s12013;4/20/1997;Sztuka Nowych Mediów;Zaoczne;s12013@pjwstk.edu.pl;Maariyah;Reuben
Samara;Oliver;s12014;3/20/1998;Informatyka;Internetowe;s12014@pjwstk.edu.pl;Amina;Henrietta
Kaleb;Little;s12015;4/20/1998;Sztuka Nowych Mediów;Wieczorowe;s12015@pjwstk.edu.pl;Julie;Ellis
Jago;Yang;s12016;3/20/1999;Informatyka;Dzienne;s12016@pjwstk.edu.pl;Gabrielle;Leyton
Ariana;Tyler;s12017;4/20/1999;Sztuka Nowych Mediów;Zaoczne;s12017@pjwstk.edu.pl;Astrid;Annabelle
Zachery;Pearce;s12018;3/20/2000;Informatyka;Internetowe;s12018@pjwstk.edu.pl;Larry;Nicolas
Cade;Barron;s12019;4/20/2000;Sztuka Nowych Mediów;Wieczorowe;s12019@pjwstk.edu.pl;Autumn;Harriet
Jermaine;Duncan;s12020;3/20/2001;Informatyka;Dzienne;s12020@pjwstk.edu.pl;Bella;Kaylee
Louise;Maddox;s12021;4/20/2001;Sztuka Nowych Mediów;Zaoczne;s12021@pjwstk.edu.pl;Harri;Tommy
